Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
TOCANTINÓPOLIS,00647000,2,23,TOCANTINÓPOLIS,TOCANTINS,ANA,-6.2886,-47.3919,1969/08/09,2019/10/31,51,4.5,38,25.5
WANDERLÂNDIA - RD BELÉM - BRASÍLIA,00647001,2,28,WANDERLÂNDIA,TOCANTINS,ANA,-6.8392,-47.9706,1973/09/29,2019/10/31,47,5.1,34,27.7
PORTO FRANCO,00647002,2,23,PORTO FRANCO,MARANHÃO,SUDENE,-6.3333,-47.4,1965/11/01,1973/05/31,9,7.7,5,44.4
LAJEADO NOVO,00647008,2,23,LAJEADO NOVO,MARANHÃO,ANA,-6.1964,-47.0406,2010/04/01,2019/08/31,10,1.9,7,30.0
XAMBIOÁ,00648000,2,28,XAMBIOÁ,TOCANTINS,ANA,-6.4131,-48.5333,1969/09/01,2019/11/30,51,4.5,35,31.4
ANANAS,00648001,2,28,ANANÁS,TOCANTINS,ANA,-6.3639,-48.0725,1974/08/24,2019/10/31,46,4.8,28,39.1
PIRAQUÊ,00648002,2,28,ARAGUANÃ,TOCANTINS,ANA,-6.6722,-48.4703,1974/08/26,2019/11/30,46,10.2,24,47.8
FAZENDA SURUBIM,00649000,2,29,MARABÁ,PARÁ,ANA,-6.4278,-49.4197,1984/02/25,2019/10/31,36,1.0,27,25.0
FAZENDA SANTA ELISA,00649001,2,29,SAPUCAIA,PARÁ,ANA,-6.7947,-49.5486,1984/02/27,2019/09/30,36,1.4,31,13.9
ELDORADO,00649002,2,29,MARABÁ,PARÁ,ANA,-6.1053,-49.3775,1985/04/08,2019/09/30,35,4.7,28,20.0
PORTO LEMOS,00649003,2,28,SANTA FÉ DO ARAGUAI,TOCANTINS,ANA,-6.8692,-49.0986,1985/05/29,2019/10/31,35,5.8,27,22.9
PARAUAPEBAS,00649004,2,29,PARAUAPEBAS,PARÁ,ANA,-6.0914,-49.9044,2008/09/01,2019/09/30,12,12.8,7,41.7
FAZENDA ANGICAL,00650000,2,29,MARABÁ,PARÁ,ANA,-6.6667,-50.0167,1980/09/18,1982/07/13,3,16.6,0,100.0
FAZENDA CAIÇARA,00650001,2,29,MARABÁ,PARÁ,ANA,-6.8153,-50.5389,1984/03/01,2019/10/31,36,6.9,26,27.8
SERRA DOS CARAJÁS - N5,00650002,2,29,MARABÁ,PARÁ,ANA,-5.93472,-50.0692,1985/04/01,2006/11/30,22,0.4,19,13.6
SÃO FÉLIX DO XINGÚ,00651000,2,18,SÃO FÉLIX DO XINGU,PARÁ,INMET,-6.6333,-51.9667,1972/09/01,1996/12/31,25,3.2,15,40.0
BOA ESPERANÇA,00651001,2,18,SÃO FÉLIX DO XINGU,PARÁ,ANA,-6.7025,-51.7986,1976/11/01,2019/08/31,44,20.2,14,68.2
PROJETO TUCUMÃ,00651002,2,18,SÃO FÉLIX DO XINGU,PARÁ,ANA,-6.7444,-51.1492,1984/03/05,2013/03/31,30,2.6,20,33.3
PRIMAVERA DO XINGU,00652000,2,18,SÃO FÉLIX DO XINGU,PARÁ,ANA,-6.05,-52.6,1976/06/21,1998/01/18,23,3.8,10,56.5
